benchmark,variant,seed,workload_scale,config,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
interrupt_race_bug,failing,4,stress,baseline_no_recorder,compiler_c_scaled,true,94275,20498,0,0,0.016844,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,failing,5,stress,baseline_no_recorder,compiler_c_scaled,true,94275,20498,0,0,0.016795,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,1,smoke,baseline_no_recorder,compiler_c_scaled,true,5000,1660,0,0,0.002671,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,2,smoke,baseline_no_recorder,compiler_c_scaled,true,5000,1660,0,0,0.002699,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,3,smoke,baseline_no_recorder,compiler_c_scaled,true,5000,1660,0,0,0.002746,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,4,smoke,baseline_no_recorder,compiler_c_scaled,true,5000,1660,0,0,0.002724,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,5,smoke,baseline_no_recorder,compiler_c_scaled,true,5000,1660,0,0,0.002792,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,1,short,baseline_no_recorder,compiler_c_scaled,true,10000,3156,0,0,0.003519,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,2,short,baseline_no_recorder,compiler_c_scaled,true,10000,3156,0,0,0.003641,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,3,short,baseline_no_recorder,compiler_c_scaled,true,10000,3156,0,0,0.003595,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,4,short,baseline_no_recorder,compiler_c_scaled,true,10000,3156,0,0,0.003540,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,5,short,baseline_no_recorder,compiler_c_scaled,true,10000,3156,0,0,0.003530,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,1,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15978,0,0,0.009955,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,2,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15978,0,0,0.009753,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,3,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15978,0,0,0.009948,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,4,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15978,0,0,0.009815,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,5,medium,baseline_no_recorder,compiler_c_scaled,true,50000,15978,0,0,0.009932,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,1,long,baseline_no_recorder,compiler_c_scaled,true,100000,30596,0,0,0.017681,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,2,long,baseline_no_recorder,compiler_c_scaled,true,100000,30596,0,0,0.017729,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,3,long,baseline_no_recorder,compiler_c_scaled,true,100000,30596,0,0,0.017903,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,4,long,baseline_no_recorder,compiler_c_scaled,true,100000,30596,0,0,0.018278,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,5,long,baseline_no_recorder,compiler_c_scaled,true,100000,30596,0,0,0.017938,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
interrupt_race_bug,fixed,1,stress,baseline_no_recorder,compiler_c_scaled,true,200000,55738,0,0,0.033513,NA,NA,NA,NA,MEASURED,measured same scaled firmware/stimulus
