bug_id,area,architecture,recorder_config,benchmark,variant,seed,workload_scale,memory_words,buffer_depth,target,flow,current_status,error_code,first_failure_stage,root_cause,evidence_file,required_for_zero_fail,fix_status,notes
V2ZF-00062,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,3,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00063,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,4,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00064,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,5,medium,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00065,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,1,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00066,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,2,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00067,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,3,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00068,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,4,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00069,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,5,long,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00070,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,1,stress,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00071,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,2,stress,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00072,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,3,stress,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00073,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,4,stress,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00074,INTERRUPT_TIMING,v2,core,interrupt_race_bug,failing,5,stress,NA,NA,NA,NA,FAIL,NO_EXPECTED_FAILURE,replay_status,interrupt timing/commit mismatch under scaled delay,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=NO_EXPECTED_FAILURE
V2ZF-00075,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,1,smoke,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00076,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,2,smoke,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00077,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,3,smoke,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00078,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,4,smoke,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00079,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,5,smoke,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00080,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,1,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00081,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,2,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00082,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,3,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
V2ZF-00083,PAYLOAD_HASH,v2,hashed,sensor_threshold_bug,failing,4,short,NA,NA,NA,NA,FAIL,EVENT_MISMATCH,replay_status,hashed payload replaces raw replay payload,results/processed/workload_scaling_v2_measured.csv,true,OPEN,error_code=EVENT_MISMATCH
