architecture,recorder_config,benchmark,variant,seed,workload_scale,measured_or_estimated,firmware_source,compiler_backed,cycles,commits,events,capsule_bytes,event_rate_per_kinst,cycles_to_failure,commits_to_failure,property_id,replay_status,final_signature_match,event_match,overflow,notes
v2,core,interrupt_race_bug,failing,2,stress,MEASURED,compiler_c_scaled,true,94273,20497,2,16,0.097575,94273,20497,2,FAIL,FAIL,FAIL,false,error_code=NO_EXPECTED_FAILURE
v2,core,interrupt_race_bug,failing,3,stress,MEASURED,compiler_c_scaled,true,94273,20497,2,16,0.097575,94273,20497,2,FAIL,FAIL,FAIL,false,error_code=NO_EXPECTED_FAILURE
v2,core,interrupt_race_bug,failing,4,stress,MEASURED,compiler_c_scaled,true,94273,20497,2,16,0.097575,94273,20497,2,FAIL,FAIL,FAIL,false,error_code=NO_EXPECTED_FAILURE
v2,core,interrupt_race_bug,failing,5,stress,MEASURED,compiler_c_scaled,true,94273,20497,2,16,0.097575,94273,20497,2,FAIL,FAIL,FAIL,false,error_code=NO_EXPECTED_FAILURE
v2,core,interrupt_race_bug,fixed,1,smoke,MEASURED,compiler_c_scaled,true,5000,1660,4,32,2.409639,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,2,smoke,MEASURED,compiler_c_scaled,true,5000,1660,4,32,2.409639,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,3,smoke,MEASURED,compiler_c_scaled,true,5000,1660,4,32,2.409639,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,4,smoke,MEASURED,compiler_c_scaled,true,5000,1660,4,32,2.409639,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,5,smoke,MEASURED,compiler_c_scaled,true,5000,1660,4,32,2.409639,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,1,short,MEASURED,compiler_c_scaled,true,10000,3156,4,32,1.267427,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,2,short,MEASURED,compiler_c_scaled,true,10000,3156,4,32,1.267427,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,3,short,MEASURED,compiler_c_scaled,true,10000,3156,4,32,1.267427,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,4,short,MEASURED,compiler_c_scaled,true,10000,3156,4,32,1.267427,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,5,short,MEASURED,compiler_c_scaled,true,10000,3156,4,32,1.267427,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,1,medium,MEASURED,compiler_c_scaled,true,50000,15978,4,32,0.250344,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,2,medium,MEASURED,compiler_c_scaled,true,50000,15978,4,32,0.250344,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,3,medium,MEASURED,compiler_c_scaled,true,50000,15978,4,32,0.250344,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,4,medium,MEASURED,compiler_c_scaled,true,50000,15978,4,32,0.250344,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,5,medium,MEASURED,compiler_c_scaled,true,50000,15978,4,32,0.250344,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,1,long,MEASURED,compiler_c_scaled,true,100000,30596,4,32,0.130736,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,2,long,MEASURED,compiler_c_scaled,true,100000,30596,4,32,0.130736,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,3,long,MEASURED,compiler_c_scaled,true,100000,30596,4,32,0.130736,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,4,long,MEASURED,compiler_c_scaled,true,100000,30596,4,32,0.130736,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,5,long,MEASURED,compiler_c_scaled,true,100000,30596,4,32,0.130736,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,1,stress,MEASURED,compiler_c_scaled,true,200000,55738,4,32,0.071764,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,2,stress,MEASURED,compiler_c_scaled,true,200000,55738,4,32,0.071764,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,3,stress,MEASURED,compiler_c_scaled,true,200000,55738,4,32,0.071764,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,4,stress,MEASURED,compiler_c_scaled,true,200000,55738,4,32,0.071764,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,interrupt_race_bug,fixed,5,stress,MEASURED,compiler_c_scaled,true,200000,55738,4,32,0.071764,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,1,smoke,MEASURED,compiler_c_scaled,true,59,15,1,8,66.666667,59,15,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,2,smoke,MEASURED,compiler_c_scaled,true,59,15,1,8,66.666667,59,15,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,3,smoke,MEASURED,compiler_c_scaled,true,59,15,1,8,66.666667,59,15,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,4,smoke,MEASURED,compiler_c_scaled,true,59,15,1,8,66.666667,59,15,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,5,smoke,MEASURED,compiler_c_scaled,true,59,15,1,8,66.666667,59,15,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,1,short,MEASURED,compiler_c_scaled,true,1532,336,1,8,2.976190,1532,336,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,2,short,MEASURED,compiler_c_scaled,true,1532,336,1,8,2.976190,1532,336,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,3,short,MEASURED,compiler_c_scaled,true,1532,336,1,8,2.976190,1532,336,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,4,short,MEASURED,compiler_c_scaled,true,1532,336,1,8,2.976190,1532,336,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,5,short,MEASURED,compiler_c_scaled,true,1532,336,1,8,2.976190,1532,336,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,1,medium,MEASURED,compiler_c_scaled,true,5948,1296,1,8,0.771605,5948,1296,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,2,medium,MEASURED,compiler_c_scaled,true,5948,1296,1,8,0.771605,5948,1296,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,3,medium,MEASURED,compiler_c_scaled,true,5948,1296,1,8,0.771605,5948,1296,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,4,medium,MEASURED,compiler_c_scaled,true,5948,1296,1,8,0.771605,5948,1296,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,5,medium,MEASURED,compiler_c_scaled,true,5948,1296,1,8,0.771605,5948,1296,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,1,long,MEASURED,compiler_c_scaled,true,23612,5136,1,8,0.194704,23612,5136,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,2,long,MEASURED,compiler_c_scaled,true,23612,5136,1,8,0.194704,23612,5136,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,3,long,MEASURED,compiler_c_scaled,true,23612,5136,1,8,0.194704,23612,5136,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,4,long,MEASURED,compiler_c_scaled,true,23612,5136,1,8,0.194704,23612,5136,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,5,long,MEASURED,compiler_c_scaled,true,23612,5136,1,8,0.194704,23612,5136,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,1,stress,MEASURED,compiler_c_scaled,true,94268,20496,1,8,0.048790,94268,20496,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,2,stress,MEASURED,compiler_c_scaled,true,94268,20496,1,8,0.048790,94268,20496,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,3,stress,MEASURED,compiler_c_scaled,true,94268,20496,1,8,0.048790,94268,20496,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,4,stress,MEASURED,compiler_c_scaled,true,94268,20496,1,8,0.048790,94268,20496,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,failing,5,stress,MEASURED,compiler_c_scaled,true,94268,20496,1,8,0.048790,94268,20496,5,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,fixed,1,smoke,MEASURED,compiler_c_scaled,true,5000,1661,2,16,1.204094,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
v2,core,mmio_ordering_bug,fixed,2,smoke,MEASURED,compiler_c_scaled,true,5000,1661,2,16,1.204094,NA,NA,0,PASS,PASS,PASS,false,record/replay complete
