architecture,recorder_config,buffer_depth,workload_scale,overflow_rate_pct,replay_success_rate_pct,median_capsule_bytes,median_events,n,notes
v2,diagnostic,2048,medium,0.000000,NA,8008.000000,666.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,2048,short,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,2048,smoke,0.000000,NA,2020.000000,167.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,diagnostic,2048,stress,100.000000,NA,127816.000000,10650.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,4,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,4,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,4,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,4,smoke,86.666667,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,4,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,8,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,8,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,8,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,8,smoke,66.666667,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,8,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,16,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,16,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,16,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,16,smoke,60.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,16,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,32,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,32,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,32,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,32,smoke,60.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,32,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,64,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,64,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,64,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,64,smoke,60.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,64,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,128,long,100.000000,NA,65552.000000,4096.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,128,medium,100.000000,NA,16400.000000,1024.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,128,short,100.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,128,smoke,60.000000,NA,4112.000000,256.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
v2,full,128,stress,100.000000,NA,262160.000000,16384.000000,75,v2 replay_success_rate_pct is NA because v2 full-core replay is not integrated/measured
