benchmark,variant,seed,config,firmware_source,compiler_backed,cycles_to_completion,cycles_to_failure,commits_to_completion,commits_to_failure,event_count,capsule_bytes,sim_wall_time_sec,cycle_overhead_pct,commit_overhead_pct,sim_wall_time_overhead_pct,baseline_config,status,notes
uart_command_bug,fixed,1,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014059,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,1,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.102915,0.00,0.00,632.02,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,1,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.101474,0.00,0.00,621.77,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,2,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014801,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,2,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.098823,0.00,0.00,567.68,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,2,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.102467,0.00,0.00,592.30,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,3,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.015001,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,3,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.108084,0.00,0.00,620.51,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,fixed,3,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.099838,0.00,0.00,565.54,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,1,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.019002,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,1,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.100771,0.00,0.00,430.32,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,1,recorder_enabled,compiler_c,true,100000,NA,33328,NA,256,5376,0.100522,0.00,0.00,429.01,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,2,baseline_no_recorder,compiler_c,true,100000,NA,33328,NA,0,0,0.014464,NA,NA,NA,NA,MEASURED,measured same firmware/stimulus on runtime harness
uart_command_bug,no_failure_edge,2,recorder_present_disabled,compiler_c,true,100000,NA,33328,NA,0,0,0.097211,0.00,0.00,572.09,baseline_no_recorder,MEASURED,measured same firmware/stimulus on runtime harness
